"Id","Date","TotalSteps","TotalDistance","TrackerDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","DayOfWeek","TotalSleepMinutes","AverageHeartRate","DailyIntensity","AvgDailyIntensity","WeightKg","WeightPounds","Fat","BMI","IsManualReport","LogId"
6962181067,2016-04-11,12362,9.09000015258789,8.17000007629395,2.69645500183105,1.0900000333786,2.73000001907349,5.26999998092651,0,21,38,297,678,2188,"Mon",429,81.0455784538218,436,0.30277775,62.2000007629395,137.127528761064,NA,24.2800006866455,"True",1460419199000
6962181067,2016-04-12,5893,3.90000009536743,3.90000009536743,0,2.88000011444092,0.560000002384186,0.46000000834465,0,43,9,48,146,917,"Tue",406,88.0392515761643,117,0.195,62.5,137.788913865625,NA,24.3899993896484,"True",1460505599000
8253242879,2016-04-07,5181,3.42000007629395,3.42000007629395,0,1,0.910000026226044,1.50999999046326,0.00999999977648258,15,15,107,1303,1776,"Thu",NA,79.2683486729235,182,0.126388916666667,75.5999984741211,166.669466847873,NA,29.5499992370605,"True",1460073599000
8877689391,2016-04-01,18700,15.8199996948242,15.8199996948242,0,8.69999980926514,0.159999996423721,6.90999984741211,0,67,3,247,1123,3527,"Fri",NA,83.5198917456022,454,0.31527775,85.5,188.495234168175,NA,25.6100006103516,"False",1459493380000
8877689391,2016-04-04,20779,18.4099998474121,18.4099998474121,0,11.7299995422363,0.649999976158142,6,0,78,16,208,1138,3662,"Mon",NA,88.143467564418,474,0.329166625,86.5999984741211,190.920315688223,NA,25.9400005340576,"False",1459752823000
8877689391,2016-04-05,10695,8.11999988555908,8.11999988555908,0,0.769999980926514,0.180000007152557,7.09000015258789,0.00999999977648258,10,3,246,1181,2834,"Tue",NA,70.2069016369267,282,0.195833291666667,86,189.5975454791,NA,25.7600002288818,"False",1459838415000
8877689391,2016-04-06,24136,20.9099998474121,20.9099998474121,0,12.2200002670288,0.540000021457672,8.07999992370605,0,87,16,318,1019,4039,"Wed",NA,87.8639014047177,611,0.424305583333333,86.3000030517578,190.258938993629,NA,25.8299999237061,"False",1459925371000
8877689391,2016-04-07,10910,8.42000007629395,8.42000007629395,0,2.96000003814697,0.389999985694885,5.03000020980835,0,32,11,212,1185,2947,"Thu",NA,73.6715721987469,330,0.229166541666667,85.0999984741211,187.613381755448,NA,25.4899997711182,"False",1460009708000
8877689391,2016-04-08,23014,20.3899993896484,20.3899993896484,0,11.1000003814697,0.629999995231628,8.61999988555908,0,70,29,359,982,4196,"Fri",NA,91.7037798332762,627,0.435416666666667,85,187.39292285725,NA,25.4400005340576,"False",1460097584000
8877689391,2016-04-09,16470,8.06999969482422,8.06999969482422,0,0,0.0199999995529652,8.02000045776367,0,90,9,289,1052,3841,"Sat",NA,93.7166426752298,577,0.400694416666667,85.4000015258789,188.274775269977,NA,25.5599994659424,"False",1460189172000
8877689391,2016-04-11,10622,8.0600004196167,8.0600004196167,0,1.47000002861023,0.150000005960464,6.36999988555908,0.00999999977648258,18,7,225,1190,2820,"Mon",NA,67.8634556574924,293,0.203472208333333,86.0999984741211,189.818004377298,NA,25.7900009155273,"False",1460357889000
8877689391,2016-04-12,2350,1.77999997138977,1.77999997138977,0,0,0,1.77999997138977,0,0,0,58,531,938,"Tue",NA,66.5585789871504,50,0.0925925555555556,85.8000030517578,189.156627682704,NA,25.6800003051758,"False",1460443631000
